1	8	703	13	227	5	284	750	278	740	266	507	241	55	555	235	12	28	1557	277
20554	85	70	80	4257	1245	3095	1115	2867	4893	17665	4529	2464	1082	2444	9508	660	194	4771	4923
17033	109	10723	108	7801	158	150	2871	12221	7779	33390	17035	42493	44877	211	166	25390	42462	3910	14399
18604	14153	26787	4162	53119	6914	20696	3355	61148	225	6926	14649	6951	43656	21	27339	6923	19557	18871	4874
289	2396	853	286	233	8370	2728	2365	636	1575	734	856	14467	1877	2621	299	783	2726	1142	800
358	359	44672	24894	44678	1536	24898	1745	24899	22632	5119	4409	1764	35311	2575	24833	6058	588	24834	5229
367	2337	578	2686	2614	2654	2720	6284	2581	574	618	7715	2374	9149	290	2695	2412	298	614	752
469	252	775	1267	75	302	25	432	351	670	101	985	3235	581	6985	5591	847	341	281	3970
510	235	737	1333	12	1557	55	266	47	227	9	1319	278	28	8	683	7406	508	740	13
568	448	606	9818	10464	618	2614	36788	578	785	599	2695	367	574	2654	9700	2720	2337	270	2657
669	39041	4816	13816	47741	25969	39625	49196	54915	38890	30367	22545	25173	32729	21236	54301	3717	59451	42310	28940
483	1329	7405	24223	746	594	750	478	11724	1413	1	5	506	6161	5027	24920	507	740	1280	1340
793	780	792	877	791	823	811	787	826	14031	3193	819	4531	2982	894	798	1310	6003	587	8062
594	4781	12	55	1319	5	266	9	227	750	13	1557	1	8	7406	13724	839	26	47	3742
1031	5085	5233	2795	3947	4023	924	6758	100	4043	459	5084	1927	1303	1401	13238	16	1302	1736	717
783	2728	34	1142	1831	891	800	5614	734	636	1678	2435	5207	856	2126	615	2153	2621	12355	2541
1206	1145	1144	1176	26361	3390	1156	1235	253	8219	1191	1182	1152	10292	10294	251	14197	1147	3013	4324
1348	1349	24958	24898	13898	6303	14534	17641	24834	16957	24207	13754	12377	6006	6128	293	24223	24920	7415	13723
1302	6754	449	1418	8344	12049	12060	1736	17	1304	432	31327	1346	593	459	4170	12056	18	4449	3150
1493	55419	56601	25601	26547	54014	12921	57959	46522	26624	9717	55409	61736	46542	61714	54554	46029	24717	42591	59747
11	16350	307	754	1702	8344	590	1418	740	1701	13724	13	683	703	38	697	750	1319	47452	1557
1996	57063	4063	1995	35099	7307	60507	18999	57075	27464	5784	9940	57798	21865	43105	15567	44239	49257	8386	18429
1142	2728	1590	250	1831	587	457	12355	6123	636	246	734	584	1197	1678	891	783	856	2161	7262
2036	302	1423	956	371	75	3905	369	5100	1077	2048	410	1215	486	1135	459	924	2963	715	717
2221	2215	2223	2216	12013	4112	8840	958	38	2218	8799	13724	3649	3257	21191	20459	2757	4228	25757	39626
2247	2308	2309	9112	9108	8668	8095	2584	578	558	9242	367	1369	2702	376	9119	13849	764	9107	2412
1355	327	1067	660	2320	2444	891	1082	2434	4893	946	1371	2427	1575	4886	689	583	584	1190	800
19	754	1702	270	11	762	2151	3109	298	38	2520	1701	697	623	346	13724	43	4903	7715	16380
400	8668	1369	618	9242	9112	2614	9149	578	2247	376	270	298	367	2374	10436	7715	5909	785	9178
307	5475	346	11096	11112	754	1528	1702	4903	561	3109	2151	11091	270	917	3749	19	6284	602	298
469	252	775	18	1267	302	75	25	432	351	670	3235	101	581	985	6985	5591	281	847	3970
246	3114	930	1190	5077	5732	43587	847	1118	2427	1686	3126	426	1376	2565	101	1100	250	660	690
2849	3432	1204	441	1226	3449	2660	9503	10431	3778	442	4552	3431	3623	1851	10430	8702	3630	14800	14795
2864	2876	2879	140	2883	2887	2882	46619	18722	2880	44377	19820	2868	54919	18732	2440	44472	22034	2869	44038
2929	9831	725	9858	15041	38183	3170	2928	10232	6775	9426	2932	22950	6115	7122	7721	3009	6238	726	2931
346	1702	561	307	11	1528	754	4903	9403	2151	602	917	581	5588	703	30	1	298	697	10
2907	1100	660	386	2320	891	1831	636	1067	1082	3685	584	194	327	557	3126	1575	564	1118	233
2783	14483	4649	25183	15213	2519	31137	46098	11055	29408	34620	43316	7946	6848	4054	27487	6372	4725	57665	1453
3263	3291	3294	2868	22410	23227	19316	9238	25805	8526	15416	90	29817	4410	17498	3290	2488	24528	7086	3274
36034	27654	27657	23360	27627	42285	27673	26675	26635	49938	45763	11997	44418	32998	3177	24760	423	31974	39699	3344
3381	3390	11312	526	1208	3520	9429	3387	2944	473	528	3536	3452	9943	3446	11455	71	7158	442	3374
5	1	10	9	697	555	703	750	278	11	3823	740	839	4781	581	284	8	13	512	3742
703	9	750	5	555	8	10	581	227	3742	11	277	3823	241	284	507	266	839	697	569
3686	2467	3646	471	7721	3280	2980	1030	3119	3283	426	9860	6775	3114	16199	6378	6780	427	725	6407
3734	2454	2488	929	2392	1618	3602	23154	31224	2456	1658	4190	1664	1067	1078	34234	311	1152	2444	3693
5590	2048	10837	4254	3916	11843	2036	6923	410	1211	10836	1033	6963	11892	13232	11869	5100	371	4131	11881
1142	2728	1590	587	250	1831	457	12355	6123	636	734	584	1197	1678	891	783	856	2161	7262	240
512	5	697	10	750	703	457	581	1	11	278	9	555	18	3823	839	13	3952	7837	740
1275	28288	12449	38262	1215	956	17641	7590	2147	3943	486	9131	5897	369	1135	75	1214	1423	38019	6198
4007	4004	4005	49	13477	14224	4984	10810	46039	3254	1699	1473	7529	1436	2001	2250	1457	8379	171	11931
4227	14716	5583	14708	14710	6308	58465	15436	4024	14727	14712	1676	7311	1829	52601	27190	25620	45103	43851	11295
670	775	252	302	75	5263	432	1267	1214	469	6985	4645	1423	251	4449	2948	4176	253	9033	369
4338	5207	2729	1831	2728	636	1858	2153	1142	856	6123	34	259	1113	925	250	1590	6084	1575	10662
4363	2541	1451	1066	27190	4368	946	816	2884	800	4107	5974	14366	24410	2528	817	21804	4893	2461	781
775	1267	469	985	670	432	6985	5591	253	25	9033	351	341	1211	581	369	4449	3235	449	1
3235	581	432	100	302	45	469	457	5	25	1	555	3823	1346	10	252	458	54	703	1267
4479	552	25438	11520	14190	2250	13477	11381	2750	1550	7858	4237	2001	4236	717	8903	1457	3224	1436	1383
4591	10176	15957	527	1849	442	441	12679	4660	440	2183	3630	3434	1204	3389	1338	2660	3431	9503	3449
2761	4640	5759	16432	4626	4625	4635	3240	6847	4071	37186	25083	4676	37205	37182	37185	4715	3195	4627	4704
4785	30274	53584	10180	55297	26137	43015	57665	56723	27370	4661	54037	49305	4774	59491	58173	46455	30584	16437	9240
1094	1067	419	386	350	946	717	4190	3685	3803	660	2907	1152	929	3039	1082	4757	1686	1272	311
4983	4982	4113	36944	21972	28834	27761	18726	17422	54128	49337	40768	51429	20834	19408	18286	47152	25472	9602	1975
261	6008	75	37	717	715	459	1135	955	1077	3800	1140	2170	281	2	458	924	302	369	100
270	298	2614	9149	6284	574	2581	7715	268	290	2374	785	2654	4903	8646	1589	4937	618	8665	2151
5	1	10	697	9	555	703	750	11	278	3823	740	839	581	4781	18	13	512	3742	284
5422	40617	5416	15672	40616	15671	3963	24038	5413	3353	40619	3902	56072	57104	3358	31100	6143	47496	733	4192
5449	7073	5591	5976	11952	985	4176	4184	9980	9891	775	8040	4324	14274	11192	4123	2640	1267	2689	252
5456	9	5455	703	241	8	277	13	750	507	555	6058	227	284	288	3823	13723	26	24920	740
5558	54430	56953	53480	40408	52483	54454	54449	44559	36672	56348	60382	59242	54495	61157	24728	52495	56962	41331	23852
2216	4112	21191	8799	8840	2221	25757	12013	38	958	749	2972	970	3078	3811	2757	6012	13724	603	940
5613	800	891	2728	3929	2528	1831	2541	783	2726	8715	816	584	5207	6084	2513	154	2126	4107	734
911	783	2541	5207	800	734	2513	2621	856	1575	1142	2726	2729	2728	1066	636	781	891	1831	2365
