978	8364	555	569	3708	6343	6244	225	282	1828
85	78	466	3005	3523	3073	3454	2960	2794	546
5182	17544	189	24495	24250	5164	32935	47374	19406	55024
5386	9158	23002	5646	729	4166	2184	1296	2235	6931
569	3194	2031	1150	30	8364	978	555	6343	713
792	33183	8661	9716	16216	7701	1354	2336	591	2586
403	60373	19102	40320	28328	26683	56870	11943	13021	21560
446	457	459	439	35509	15150	43036	36226	27142	15410
3952	711	280	480	376	1850	1387	1436	9158	13302
357	5614	6703	5616	9399	5536	1494	50585	52561	6736
653	2790	480	3072	3952	711	995	1251	5595	382
726	3206	13017	3847	4110	3717	14	724	9345	745
1500	1543	954	635	1231	1705	1152	2696	293	3335
2031	6343	978	569	35	1828	8364	3194	3708	555
1034	6380	1097	361	4883	2979	1270	413	341	5914
28265	50186	38096	61487	21780	40342	40352	19592	19586	21781
2774	15758	8690	342	1172	5722	5908	5595	5484	15732
1313	48100	12654	45878	54144	12610	7172	57300	43060	54148
1420	18970	35312	58486	35424	10048	15032	14840	36682	6201
1452	33843	28993	20983	4059	1436	28330	57765	1466	50626
17819	51193	37439	4182	45349	6293	17815	21545	42637	19821
1989	4042	5073	2198	5105	1622	29385	5112	2489	3600
1500	1543	954	635	1705	1231	1152	2696	3335	293
35661	2189	44151	9728	34623	35650	10440	44149	55032	27522
2229	55233	41882	14971	58144	40944	11635	29875	55782	13239
7701	2720	2336	3127	303	316	1585	2579	9166	7604
7530	54758	2415	20036	2427	34345	2455	13488	2448	34339
954	1500	1543	1685	797	1231	933	804	293	1705
7701	582	2720	2336	284	3127	389	303	316	1585
1494	5614	5616	6703	16503	50585	9399	5536	6683	52561
1500	2724	635	954	1152	1543	2696	9	5179	1231
1071	4298	153	9886	649	5160	3080	5032	19317	289
2842	30744	23819	14826	52849	17187	61415	12495	60080	4576
2899	44396	2900	52553	51763	51770	58700	19676	18281	5995
760	3169	7128	10244	3005	7115	12072	9430	9421	35892
5614	6703	5616	9399	5536	1494	50585	52561	6736	2167
3931	7505	1097	3178	4191	23874	4883	31962	361	6380
3235	34724	19206	1086	1736	7818	35033	3199	7135	49372
3261	3292	60916	1479	41275	987	53884	3284	3293	2891
728	555	8364	978	6343	225	282	3826	569	3708
3519	3571	12527	3517	55923	3480	3494	38598	3507	3581
5069	3271	444	57809	27460	27133	6408	3607	3611	6366
2031	931	22	7959	565	19	1003	20	28058	2018
3678	1097	480	3220	10250	12398	2955	711	4083	2790
2031	22	7959	1003	28058	931	565	2018	94	978
3762	3761	54708	36398	20711	4813	56677	37741	36919	3757
3600	1436	711	2198	2666	5004	3028	5149	1462	1850
3802	3807	2472	3837	12142	3781	3833	3783	2455	3816
3947	3946	3343	4194	5417	5413	5414	17196	5421	9698
4112	26846	3812	57356	26573	36516	50256	11540	59909	52527
4180	7256	2084	2278	47183	24781	4116	817	33855	10777
5908	4184	8021	5595	770	9895	258	6972	1266	11201
5484	1071	649	4298	1097	2541	641	3080	4343	4908
55663	46430	31961	40806	8610	4384	35302	8599	52190	24250
5484	92	4413	4415	2640	1094	1071	919	1172	649
91	711	3155	1306	911	3070	1850	1462	5641	1436
4516	339	35912	18205	2167	851	1462	5713	11112	4232
711	9158	1850	1436	1140	4174	729	989	3028	2235
4663	1436	8337	711	1406	2235	4059	4706	6595	12531
3194	30	569	8364	2031	1278	1150	1	978	555
104	12880	4128	1999	8089	3196	2113	46856	34605	2000
1343	753	12895	8360	14180	2352	10	4007	2031	4225
9158	711	4174	1436	729	989	1850	3028	25	378
5207	1711	31779	10723	24334	1710	2588	842	1799	34702
2182	5245	476	2587	5264	4669	8701	1254	2064	4725
3946	4194	5417	17196	5421	9698	2550	3948	57117	59886
2441	4901	4877	6058	4908	649	1071	9886	4343	919
1500	1543	954	635	9	1705	1231	1152	2696	3335
1071	649	4298	153	5160	4901	5557	4877	3080	1088
91	711	1462	3155	911	1850	1436	3070	1306	2031
5685	52950	54035	9924	15460	38639	37239	57406	54890	56541
569	3194	2031	1150	1	30	8364	978	555	6343
5785	26526	1702	1699	53884	27449	26748	20465	44244	26517
5831	36599	45913	48033	52893	52898	52891	52904	13983	55325
5948	15913	56738	15546	25823	42590	33432	24990	44165	46054
569	3194	2031	1150	30	8364	978	555	6343	22
2720	2336	582	389	7701	3127	316	16186	4893	2579
6075	52337	25111	44284	58639	47835	36313	41294	46443	43744
7701	2720	582	2336	284	3127	389	316	303	1585
6174	39250	34554	46346	36025	52375	39120	3200	40763	60730
91	711	3155	1306	1432	911	3070	1850	6	1462
6256	36659	34074	53019	8616	1461	41271	19203	18399	6255
7701	285	389	2336	2720	2246	3127	582	5295	767
6309	6314	6293	19149	59152	6300	59154	17570	1994	14725
281	2185	5835	271	536	4250	10623	14657	8687	1115
6380	1097	3931	12398	4191	361	2979	10141	4192	7505
746	401	370	9113	8648	2252	9243	1354	369	419
6640	28214	6634	59965	48376	39022	52822	55136	7148	48422
4071	339	32378	4516	2167	703	6703	357	5585	32376
569	3194	2031	1150	1	30	8364	978	555	22
5149	296	2173	974	3627	382	5820	6792	294	4060
50626	6871	6550	55905	1436	6881	16754	7911	9158	4925
6944	18835	17549	12137	19485	51358	36726	20992	61854	59489
13017	3847	3206	3717	5515	4110	116	734	737	726
7029	49578	48608	40686	9068	59516	43897	18868	38974	48967
649	6058	4901	4877	1071	354	2441	4908	4343	9886
17087	7204	51956	18430	43459	55906	20177	32455	24466	17489
2301	2278	7256	1705	1500	6772	1086	1543	1231	4116
3343	24039	31100	61132	42251	58029	759	3947	8167	35542
2588	2550	6999	2832	4947	1710	15879	5227	16193	18848
2925	1867	919	8517	1094	16837	1869	4415	16838	5484
