11	481	35	286	28
254	35	21	5	8
3090	103	212	1258	843
71	21	298	73	481
8	481	21	11	71
28	381	8477	35	1071
409	298	71	652	254
8	71	11	481	600
5	8	21	481	11
581	563	1420	17899	17898
35	121	254	117	1156
237	8	11	481	608
286	21	254	11	71
5	481	8	17885	34357
1031	600	21	481	5
1111	35	1156	121	1236
1196	426	261	263	921
71	298	652	18975	21
299	298	262	451	1006
1499	286	592	381	641
286	35	254	603	11
1990	212	747	103	6193
254	21	121	286	5
2187	40385	25133	20511	47502
1	8844	28	11	1799
2353	286	592	55121	32796
2447	35	121	1156	117
2537	44222	21	2364	600
212	641	103	1420	603
352	11	5	8	254
2543	47	11	73	5
254	35	21	5	71
2834	8	5	481	234
2456	843	254	401	35
30	8	481	7413	3852
3147	286	592	381	5331
1156	121	603	286	21
2763	21	50	71	600
923	921	100	429	315
3320	254	171	1071	121
3541	77	3500	748	2967
43653	6784	77	447	59809
238	8	481	600	21
3670	1071	1114	254	121
3728	8	5	234	21
262	298	71	1006	429
254	21	286	121	5
3863	843	254	121	35
1775	254	298	100	59
8	11	5	234	25
254	59	35	21	71
1007	71	21	465	50
2514	254	1114	602	298
4380	603	35	117	121
4436	652	262	71	1006
4461	71	21	14	15
4474	1258	30528	38094	877
21	19506	298	652	600
4637	451	27084	3623	57647
4771	100	254	1775	921
918	254	59	100	262
2327	254	843	429	298
21	71	5	8	11
5196	1156	591	121	592
77	254	1006	35	71
429	262	1006	652	766
77	451	254	261	429
5482	516	8687	41693	10165
5493	563	352	1420	55
481	21	600	71	298
5683	47	8	5	481
381	1	309	286	1799
3177	21	1433	71	465
5820	697	6331	29753	53785
804	35	121	591	1156
1873	298	652	1392	71
35	254	286	1156	21
4786	254	38239	2434	59
6084	58043	103	8060	7937
1561	542	8	43169	5
100	254	262	652	59
6250	1114	254	602	59
6274	254	59	1071	5053
6307	8	465	5	904
13	11	254	21	71
1262	21	71	8	35
8	481	5	600	3814
6638	71	59005	6857	21
6681	77	921	544	261
3333	35	121	1156	2730
77	544	451	426	766
6897	35884	966	71	1323
2016	234	542	600	21
71	298	652	262	254
6977	103	877	843	603
2444	59	171	1071	1114
7222	286	592	381	591
27	5	481	11	25
7330	262	1006	766	337
212	603	35	103	286
7391	59	254	3115	1071
21	481	11	71	600
3198	602	59	35	121
7571	21	71	3079	5
6286	299	18682	8681	516
7655	35	121	59	603
7717	24104	560	603	30551
481	5	8	21	11
73	35	286	21	641
1700	3090	171	254	401
6799	337	426	262	1006
7988	600	481	8	21
3090	59	315	298	286
2213	28	11	714	1799
8081	57198	40016	38093	32210
8277	32091	451	263	261
2191	4708	60131	3406	3525
652	298	262	71	429
3090	843	59	641	603
8440	21	600	8	5
286	603	352	381	35
8514	100	254	262	429
8588	77	426	544	121
5	8	21	481	71
8727	451	8726	8233	11324
254	121	21	1156	603
35	3968	121	843	603
8826	724	5	481	8
232	71	3652	435	121
3932	212	103	877	747
8968	37039	603	55998	1258
1258	401	603	843	254
591	35	1558	1156	121
5717	8	614	3852	26
376	603	641	35	613
3888	103	2151	212	877
9311	1420	34295	12209	55
3175	748	77	7051	50884
9505	35	121	591	1156
9590	254	100	602	429
59	254	35	21	5
451	262	71	254	35
2590	35	9967	1156	121
550	904	5	8	3852
9810	570	562	463	46416
254	59	35	21	286
352	603	613	309	1
9933	298	71	1085	2292
9956	3090	843	254	35
10008	315	429	766	262
286	121	1156	262	71
1799	286	28	2154	11
