1436	23	699	4015	2017
2281	14423	38353	10059	2497
159	141	134	17301	25955
38087	2179	28108	17620	25895
2497	4852	20253	1066	639
2506	26665	36045	781	2657
400	2121	7505	20071	3872
3208	7700	3076	9911	2
249	514	12405	8292	33410
474	1436	699	389	2017
946	1494	16740	1564	795
3703	958	684	555	978
578	27926	579	1282	3345
3703	555	255	8347	978
1033	10132	24734	18916	24191
1061	21110	4469	38103	24118
1226	25595	1240	1243	20489
27926	579	3345	5142	14044
1420	37436	18974	16271	10340
11753	38020	9062	14010	27670
17816	6292	17818	17821	3599
1993	17785	9775	31049	9767
2153	6075	9491	30178	35691
16740	1494	6056	795	291
2213	4045	2226	27210	29622
2346	23123	2397	14532	37141
37307	25231	21502	3787	2427
946	6056	2547	1494	16740
347	1066	2497	643	2434
11960	6128	7259	4350	3269
2785	1452	9911	3208	3988
33212	2809	10307	10241	27134
2842	17200	23265	4553	8716
18854	18708	6942	24736	14703
3054	28502	26280	3769	18231
2506	2347	3144	573	383
3177	8615	35492	2327	17202
3234	22394	32915	3827	18635
3262	3640	3287	20259	15518
3347	4824	23225	10199	2497
3372	3404	3473	3506	3401
11035	3445	4505	2975	455
3703	564	8347	555	958
3679	35435	15433	28731	36052
564	3703	684	958	555
2068	365	8381	5926	1205
946	16740	6056	1494	795
29576	4172	5999	1660	29247
1635	23110	3225	12856	18758
149	3703	8379	17373	735
2992	5999	29247	1660	2027
474	1436	699	389	2017
2538	4339	1066	5488	29663
4385	4368	8605	12678	4384
5488	1270	931	1781	4407
9911	1452	4159	3208	3951
946	16740	1494	6056	634
4699	469	1896	9490	1260
3238	4640	2787	15815	6824
2605	4407	1781	1270	5960
4913	2397	23347	14532	19092
1066	2497	931	4537	2281
5096	35071	34452	34208	36033
9460	2747	6056	16740	6051
5311	2506	11698	5261	287
3965	5416	11444	4188	2550
1066	2497	347	931	2281
573	2347	304	2506	285
5556	3703	17224	6148	5557
33649	5613	34458	18635	3703
946	6056	1494	16740	634
4379	96	2497	20573	6466
2350	966	1383	2027	15840
2168	3622	973	1257	4016
5861	5963	32277	25135	5942
1066	2497	347	1073	170
2347	573	304	7712	321
946	1494	16740	6056	795
6135	1596	526	3703	564
258	2180	284	545	3080
3633	6325	32653	14195	6324
6244	340	22327	1355	3676
573	2347	2506	304	7712
5556	7952	8074	2121	15403
1452	3632	3988	9911	3076
2975	11004	3445	435	27853
6458	33715	37878	23693	17476
6646	18231	7955	5645	28502
5467	5518	354	5464	9407
1066	2497	347	1073	170
2939	531	3079	69	14190
4186	5459	3315	356	5871
